Sample	indicators1	indicators2	indicators3	indicators4	indicators5
10800	1	1	1	1	1
10810	1	0	0	0	0
10820	0	0	0	0	0
10830	1	1	1	0	0
10840	0	0	0	0	0
10850	1	0	0	0	0
10860	0	0	0	0	0
10870	1	0	0	0	0
10880	0	1	1	1	1
10890	1	1	0	1	0
10900	0	0	1	1	1
10910	0	0	0	0	0
10920	0	1	0	0	0
10930	1	1	0	0	1
10940	0	0	0	1	0
10950	1	0	0	1	1
10960	1	1	1	1	1
10970	1	0	1	0	0
10980	1	1	1	0	0
10990	0	0	0	0	0
11000	1	0	0	0	0
11010	0	1	1	0	1
11020	1	0	0	0	1
11030	1	0	1	0	0
11040	1	1	0	1	1
11050	1	1	1	0	1
11060	1	1	0	0	0
11070	1	1	0	0	1
11080	1	1	0	1	1
11090	0	0	0	0	0
11100	0	1	0	0	0
11110	0	0	1	1	1
11120	1	0	0	0	0
11130	1	1	1	0	1
11140	1	1	1	0	0
11150	0	1	0	1	1
11160	1	1	1	1	1
11170	1	0	1	1	1
11180	1	1	1	1	1
11190	1	1	1	1	1
11200	1	1	1	1	1
11210	0	0	0	0	0
11220	0	1	0	1	0
11230	0	0	1	0	0
11240	0	0	0	0	1
11250	1	0	1	0	1
11260	1	1	1	1	0
11270	1	1	1	1	1
11280	1	0	0	0	1
11290	0	0	0	0	0
11300	0	0	0	0	0
11310	0	0	1	0	0
11320	1	1	0	0	0
11330	0	0	1	1	0
11340	1	1	1	1	1
11350	1	0	1	0	1
11360	1	0	1	1	0
11370	1	0	1	1	1
11380	1	0	1	0	0
11390	0	1	0	0	0
11400	0	0	0	0	1
11410	0	0	0	0	0
11420	0	0	0	0	0
11430	1	0	1	1	0
11440	0	0	0	1	0
11450	1	1	1	0	1
11460	1	1	1	1	1
11470	0	1	1	1	1
11480	1	1	1	1	1
11490	1	1	0	1	0
11500	1	1	1	1	1
11510	1	1	1	1	1
11520	0	0	1	1	1
11530	1	1	1	1	1
11540	0	0	0	1	0
11550	1	1	1	1	1
11560	1	1	1	1	1
11570	1	1	1	1	1
11580	1	1	1	1	1
11590	0	1	1	0	0
11600	0	0	0	1	1
11610	0	0	0	1	0
11620	0	0	0	0	0
11630	0	1	1	0	1
11640	0	1	1	1	1
11650	0	1	1	0	1
11660	1	1	0	0	1
11670	0	1	1	0	0
11680	0	1	0	0	1
11690	0	0	0	0	0
11700	0	0	0	0	1
11710	1	1	0	0	1
11720	1	1	1	1	1
11730	1	1	1	1	1
11740	0	0	0	1	0
11750	1	1	1	1	1
11760	0	0	1	0	1
11770	0	0	0	1	1
11780	1	0	0	1	1
11790	1	1	1	1	1
11800	1	1	1	1	1
11810	1	0	1	1	1
11820	0	0	0	0	0
11830	1	0	0	0	0
11840	0	1	0	0	0
11850	1	0	0	0	1
11860	0	1	0	0	0
11870	1	1	1	1	1
11880	0	0	0	0	0
11890	0	1	1	1	0
11900	1	1	1	1	1
11910	1	1	1	1	1
11920	1	0	1	1	1
11930	1	1	1	1	0
11940	0	0	1	0	1
11950	0	0	0	1	0
11960	0	0	1	0	0
11970	1	1	0	0	0
11980	0	1	1	1	1
11990	1	1	0	1	1
12000	0	1	0	0	0
12010	1	1	0	1	1
12020	0	1	0	1	0
12030	0	1	1	0	0
12040	0	0	1	0	1
12050	0	0	0	0	0
12060	0	0	0	0	0
12070	1	1	1	1	0
12080	1	1	1	1	1
12090	1	1	1	1	1
12100	1	1	1	1	1
12110	1	1	1	1	1
12120	0	0	1	0	1
12130	0	0	0	0	1
12140	1	1	0	1	1
12150	0	0	0	0	0
12160	1	1	1	1	1
12170	0	1	1	0	1
12180	0	0	1	0	0
12190	0	0	0	0	1
12200	0	0	0	0	0
12210	1	1	0	1	1
12220	1	1	0	0	1
12230	1	1	1	1	1
12240	1	1	1	1	1
12250	1	0	0	0	0
12260	0	0	1	1	0
12270	0	0	1	1	0
12280	0	0	1	0	1
12290	0	0	0	1	0
12300	1	1	1	1	0
12310	1	1	1	1	1
12320	1	0	0	1	0
12330	0	0	0	1	0
12340	0	0	0	0	0
12350	1	1	0	0	1
12360	0	0	0	0	0
12370	0	0	0	0	0
12380	0	0	0	0	0
12390	0	0	0	0	0
12400	0	1	0	0	0
12410	1	1	0	1	1
12420	0	0	0	0	1
12430	0	1	1	0	0
12440	0	1	0	1	1
12450	0	1	1	0	0
12460	1	1	1	1	1
12470	1	1	1	1	1
12480	1	1	0	1	1
12490	1	1	1	1	1
12500	1	1	1	0	0
12510	0	1	0	0	0
12520	1	0	0	1	1
12530	1	1	1	1	0
12540	1	1	1	1	1
12550	1	1	0	0	0
12560	0	0	0	1	1
12570	0	0	0	0	0
12580	1	1	0	0	0
12590	0	0	0	0	0
12600	0	0	0	0	0
12610	1	1	1	1	1
12620	0	1	0	0	1
12630	1	1	1	1	1
12640	1	1	1	1	1
12650	1	1	1	1	1
12660	1	1	0	1	1
12670	1	0	1	1	0
12680	1	0	1	1	1
12690	1	1	1	1	1
12700	1	1	1	1	1
12710	1	1	1	1	0
12720	0	1	1	1	1
12730	1	1	1	1	1
12740	1	1	1	0	1
12750	1	1	1	1	1
12760	1	1	1	1	0
12770	0	1	0	1	0
12780	1	1	1	1	1
12790	0	0	0	1	0
12800	0	1	0	0	1
12810	0	0	1	0	0
12820	1	0	0	0	0
12830	0	0	0	0	0
12840	0	0	0	0	0
12850	1	0	1	1	0
12860	0	1	0	1	1
12870	1	1	0	0	1
12880	1	1	1	1	1
12890	1	1	1	1	0
12900	1	1	0	0	1
12910	0	0	0	0	1
12920	0	0	0	0	0
12930	0	0	0	0	0
12940	1	1	1	1	1
12950	1	1	1	1	1
12960	0	1	0	0	0
12970	1	0	0	0	0
12980	1	0	0	0	0
12990	0	1	0	0	0
13000	0	0	0	0	0
13010	0	0	0	0	0
13020	0	0	0	0	0
13030	1	1	0	0	0
13040	1	1	0	0	1
13050	1	1	0	0	0
13060	0	1	1	1	1
13070	1	1	0	1	0
13080	1	1	1	1	1
13090	0	1	0	0	1
13100	1	1	1	1	1
13110	1	1	1	1	1
13120	1	1	0	1	1
13130	1	1	1	1	1
13140	1	0	0	0	0
13150	1	0	0	0	0
13160	0	0	0	0	0
13170	0	0	0	0	0
13180	0	0	0	0	0
13190	1	1	1	0	1
13200	1	1	1	1	1
13210	1	1	1	1	1
13220	1	1	1	1	1
13230	1	1	1	1	0
13240	1	0	0	0	1
13250	1	0	1	1	1
13260	0	0	0	0	0
13270	0	0	0	0	0
13280	0	1	0	0	0
13290	0	0	1	1	1
13300	1	0	1	1	0
13310	1	0	0	1	1
13320	1	1	1	1	1
13330	1	1	1	1	1
13340	0	1	1	0	1
13350	0	1	0	1	0
13360	0	0	0	0	0
13370	0	0	0	1	0
13380	0	0	0	0	0
13390	0	0	1	0	1
13400	1	1	1	1	1
13410	1	1	0	1	1
13420	1	1	1	1	1
13430	0	0	0	0	0
13440	1	1	0	1	1
13450	1	1	0	1	1
13460	1	1	0	1	0
13470	0	0	0	0	0
13480	0	0	1	0	0
13490	0	0	0	0	1
13500	0	0	0	0	1
13510	0	0	0	1	0
13520	0	0	1	0	0
13530	0	1	0	0	0
13540	0	0	0	1	0
13550	0	0	0	0	0
13560	0	0	0	0	1
13570	1	0	1	0	0
13580	0	0	0	0	0
13590	0	0	1	0	0
13600	0	1	0	0	1
13610	0	0	0	0	0
13620	0	1	0	1	0
13630	1	1	1	0	1
13640	1	0	0	0	1
13650	0	0	1	1	0
13660	1	1	0	1	1
13670	0	0	0	0	0
13680	0	0	0	0	0
13690	1	0	0	0	0
13700	1	1	0	1	0
13710	0	0	0	1	1
13720	1	0	1	0	1
13730	0	1	0	0	1
13740	1	1	1	0	0
13750	1	1	0	1	1
13760	0	0	0	0	0
13770	0	0	0	0	0
13780	0	1	0	0	0
13790	1	1	1	1	1
13800	1	1	1	0	1
13810	0	1	0	0	0
13820	0	0	0	0	0
13830	0	0	0	0	0
13840	1	0	0	0	0
13850	1	1	0	0	0
13860	0	0	0	1	1
13870	0	0	0	0	1
13880	0	0	1	0	1
13890	0	0	0	0	0
13900	1	0	0	0	0
13910	0	0	1	1	0
13920	1	1	1	1	1
13930	0	0	0	0	0
13940	0	0	0	1	0
13950	0	1	0	1	0
13960	0	0	0	0	0
13970	0	0	0	0	0
13980	0	0	0	0	1
13990	0	0	0	0	1
14000	0	0	0	0	0
14010	1	1	0	1	1
14020	1	1	1	1	1
14030	1	0	0	1	0
14040	1	0	0	1	0
14050	0	1	0	0	1
14060	0	0	0	0	0
14070	0	0	0	0	0
14080	0	0	1	0	1
14090	1	0	1	0	0
14100	0	0	0	1	0
14110	0	0	0	0	0
14120	0	0	0	0	0
14130	0	0	1	0	0
14140	1	0	1	1	1
14150	1	0	0	0	0
14160	0	1	0	0	0
14170	1	1	1	0	1
14180	0	0	1	0	0
14190	0	0	0	0	0
14200	0	0	0	0	0
14210	0	0	0	0	0
14220	0	0	0	0	1
14230	1	0	1	1	1
14240	1	0	1	1	1
14250	1	1	1	1	0
14260	1	1	1	1	1
14270	1	0	1	1	1
14280	1	1	1	0	1
14290	1	1	1	1	1
14300	1	1	1	1	1
14310	0	1	0	1	0
14320	1	0	0	0	1
14330	0	1	0	1	0
14340	1	0	1	0	0
14350	1	1	0	0	1
14360	0	1	1	1	0
14370	0	1	1	0	0
14380	0	0	1	1	1
14390	1	1	1	1	1
14400	0	1	0	0	0
14410	1	1	1	1	1
14420	0	0	1	0	1
14430	0	1	0	1	0
14440	0	1	0	0	0
14450	0	0	0	0	0
14460	1	0	0	1	1
14470	1	1	1	1	1
14480	0	1	0	0	0
14490	0	0	0	0	0
14500	1	0	0	1	0
14510	1	1	0	0	1
14520	1	1	1	1	1
14530	1	1	1	1	1
14540	1	1	1	1	1
14550	0	0	1	1	1
14560	0	0	0	0	0
14570	0	0	1	0	0
14580	1	0	0	1	1
14590	0	1	0	0	0
14600	0	1	1	1	1
14610	0	1	1	1	1
14620	1	1	1	1	1
14630	1	1	1	0	0
14640	0	1	0	1	0
14650	0	0	0	0	0
14660	1	1	1	0	1
14670	1	1	0	1	1
14680	1	1	1	0	1
14690	1	1	1	1	0
14700	1	1	1	1	0
14710	0	0	1	1	0
14720	0	0	0	0	0
14730	0	1	0	1	1
14740	0	0	0	0	1
14750	0	0	0	0	0
14760	1	0	1	1	1
14770	1	1	1	1	1
14780	1	1	1	1	1
14790	0	0	0	0	0
14800	0	0	0	0	0
14810	0	0	0	0	0
14820	1	1	1	0	0
14830	1	1	0	1	1
14840	1	1	1	1	1
14850	0	0	0	0	1
14860	0	0	0	0	0
14870	1	0	0	0	0
14880	0	0	0	1	1
14890	1	1	0	1	0
14900	1	1	1	0	1
14910	1	0	1	1	1
14920	1	1	1	1	0
14930	0	0	0	0	0
14940	1	0	0	0	0
14950	1	0	0	1	0
14960	0	0	0	1	0
14970	0	0	0	0	0
14980	0	0	0	0	0
14990	0	0	0	1	1
15000	1	1	1	1	1
15010	1	1	1	1	1
15020	1	1	1	1	1
15030	0	1	0	0	1
15040	0	0	1	0	1
15050	0	0	0	1	0
15060	0	0	0	0	0
15070	0	0	0	0	0
15080	1	1	1	0	0
15090	1	1	0	0	1
15100	0	0	0	0	0
15110	0	0	1	0	0
15120	1	1	1	1	0
15130	1	1	1	1	1
15140	1	1	1	1	1
15150	1	1	1	1	1
15160	0	1	1	0	1
15170	1	1	1	1	0
15180	1	1	1	1	1
15190	1	1	0	1	1
15200	1	1	1	1	1
15210	1	1	0	1	1
15220	1	1	0	0	0
15230	0	1	1	0	0
15240	0	0	0	0	0
15250	1	0	0	0	0
15260	0	0	0	0	0
15270	0	0	0	0	0
15280	0	0	1	1	0
15290	1	0	1	0	1
15300	0	1	0	0	0
15310	0	0	1	0	0
15320	1	1	1	1	0
15330	0	0	0	0	1
15340	1	0	1	1	0
15350	0	1	1	0	0
15360	1	0	1	0	1
15370	0	1	1	0	1
15380	1	1	1	0	1
15390	1	1	0	1	1
15400	1	0	0	0	0
15410	1	0	0	1	1
15420	1	1	0	0	1
15430	1	1	1	1	1
15440	1	1	1	1	1
15450	1	1	1	1	1
15460	1	1	1	1	1
15470	0	1	1	1	1
15480	0	0	1	1	0
15490	0	0	1	0	1
15500	0	0	0	0	0
15510	0	0	0	0	0
15520	0	0	0	0	0
15530	0	1	1	1	1
15540	1	1	0	1	0
15550	1	1	1	1	1
15560	1	1	0	1	1
15570	1	1	1	1	1
15580	1	1	0	1	0
15590	0	0	1	1	0
15600	1	0	0	0	0
15610	0	0	0	0	0
15620	0	0	1	0	0
15630	0	1	1	1	0
15640	0	1	1	1	1
15650	0	1	1	1	0
15660	0	0	0	0	0
15670	1	0	0	0	0
15680	0	0	1	0	0
15690	0	1	0	1	0
15700	0	1	0	0	0
15710	0	1	0	1	1
15720	0	1	1	1	0
15730	1	1	1	1	1
15740	0	0	1	0	1
15750	1	1	1	1	1
15760	0	0	1	1	1
15770	0	0	0	1	0
15780	1	0	0	0	0
15790	0	1	0	1	1
15800	0	0	1	1	1
15810	1	0	1	1	1
15820	1	0	0	1	1
15830	0	0	0	1	0
15840	1	0	1	1	1
15850	0	0	1	1	1
15860	0	0	0	1	0
15870	1	0	1	0	1
15880	0	1	0	0	0
15890	0	1	0	0	0
15900	1	1	1	1	1
15910	1	1	1	0	1
15920	0	0	1	0	1
15930	1	1	1	0	1
15940	1	1	1	1	0
15950	0	1	1	1	0
15960	0	1	1	0	1
15970	1	0	1	0	0
15980	0	0	0	0	0
15990	1	0	1	0	0
16000	1	1	1	1	0
16010	1	0	1	1	0
16020	1	1	1	0	1
16030	1	1	1	1	0
16040	0	0	0	1	0
16050	1	1	0	0	1
16060	0	1	0	1	0
16070	0	0	0	0	0
16080	0	0	1	0	0
16090	0	0	0	1	0
16100	1	0	0	1	0
16110	0	0	0	0	0
16120	0	0	0	0	0
16130	0	0	0	0	0
16140	1	1	0	1	0
16150	1	1	0	1	1
16160	1	0	0	1	1
16170	0	0	0	0	1
16180	0	0	0	0	0
16190	1	0	0	0	1
16200	0	1	0	0	1
16210	1	0	0	0	0
16220	0	0	0	0	1
16230	0	0	0	1	1
16240	1	1	0	1	0
16250	1	1	1	1	1
16260	1	1	1	1	0
16270	1	0	0	1	1
16280	0	0	0	0	0
16290	0	0	1	1	1
16300	0	0	0	0	0
16310	1	0	0	0	0
16320	1	1	1	1	1
16330	1	1	1	1	1
16340	1	0	1	0	1
16350	1	0	1	1	1
16360	1	1	1	0	1
16370	1	1	1	1	1
16380	1	1	1	1	1
16390	1	0	0	0	0
16400	1	1	0	1	0
16410	1	0	1	1	0
16420	0	1	1	1	0
16430	1	1	1	1	1
16440	1	0	1	1	1
16450	0	1	1	0	1
16460	0	1	1	1	0
16470	0	0	0	0	0
16480	1	0	1	0	0
16490	0	1	0	1	0
16500	1	1	1	0	0
16510	1	0	0	0	0
16520	0	0	0	1	1
16530	0	1	0	1	0
16540	1	1	1	0	1
16550	1	0	0	0	0
16560	0	0	1	0	0
16570	0	1	0	1	1
16580	1	1	1	1	1
16590	1	1	1	1	1
16600	1	0	1	1	0
16610	1	1	1	1	1
16620	1	1	1	1	1
16630	1	1	0	0	1
16640	1	1	1	0	1
16650	1	1	1	1	1
16660	0	1	1	1	1
16670	1	1	1	1	0
16680	1	1	0	1	1
16690	1	1	1	1	1
16700	0	0	0	0	0
16710	0	0	0	0	0
16720	0	0	0	0	0
16730	0	0	0	1	0
16740	0	0	0	1	0
16750	0	0	0	0	1
16760	0	0	0	0	0
16770	0	1	1	0	0
16780	0	1	0	1	1
16790	1	0	1	1	0
16800	0	1	0	0	1
16810	1	1	1	0	1
16820	1	1	0	0	1
16830	1	1	1	1	1
16840	1	0	1	1	0
16850	1	1	1	0	0
16860	0	0	1	0	0
16870	1	1	1	1	1
16880	0	0	0	1	1
16890	0	1	0	0	1
16900	0	1	0	0	1
16910	0	0	1	0	0
16920	0	0	0	0	0
16930	0	1	1	1	1
16940	1	1	0	1	1
16950	1	1	1	1	1
16960	1	0	1	1	1
16970	1	1	1	1	1
16980	1	1	1	1	0
16990	1	1	1	1	1
17000	1	1	1	1	1
17010	1	1	1	1	1
17020	1	1	1	1	1
17030	1	0	0	0	0
17040	1	0	1	1	1
17050	0	0	0	1	0
17060	0	0	1	0	0
17070	1	0	1	1	1
17080	1	0	1	0	0
17090	1	1	1	1	1
17100	1	0	1	1	1
17110	0	0	1	0	1
17120	1	1	1	1	1
17130	1	1	1	1	1
17140	0	0	0	1	0
17150	0	0	0	0	0
17160	0	0	0	0	0
17170	1	0	1	0	1
17180	1	1	1	1	1
17190	1	1	1	1	1
17200	1	0	0	0	0
17210	0	0	0	0	0
17220	1	1	1	0	0
17230	0	0	0	1	1
17240	0	0	0	0	0
17250	0	1	0	0	0
17260	1	1	0	1	0
17270	1	0	1	1	1
17280	0	1	1	0	0
17290	0	0	0	0	0
17300	0	1	0	0	0
17310	1	1	1	1	0
17320	1	1	1	1	1
17330	1	1	0	0	1
17340	1	1	1	1	1
17350	1	0	0	1	0
17360	0	1	0	0	0
17370	1	0	1	0	1
17380	1	1	1	1	1
17390	1	0	1	1	0
17400	0	0	0	0	0
17410	0	0	0	0	0
17420	1	1	1	1	0
17430	1	1	1	1	1
17440	1	0	0	1	1
17450	1	1	0	1	1
17460	1	1	0	1	0
17470	0	0	0	0	0
17480	1	1	1	1	1
17490	1	0	1	0	0
17500	0	1	0	0	0
17510	1	0	0	0	0
17520	1	0	1	0	1
17530	1	0	0	0	0
17540	1	1	1	1	0
17550	1	1	1	0	0
17560	0	0	0	0	0
17570	1	0	0	1	0
17580	1	1	1	1	1
17590	0	1	0	1	0
17600	0	0	1	1	1
17610	0	1	0	0	0
17620	0	0	1	1	1
17630	1	1	1	1	1
17640	1	1	1	1	1
17650	1	1	1	1	1
17660	0	1	0	0	1
17670	1	0	0	1	0
17680	0	0	0	0	0
17690	0	0	1	0	0
17700	0	1	0	1	0
17710	0	0	0	1	0
17720	0	0	1	0	0
17730	0	1	0	0	0
17740	0	0	1	1	1
17750	0	0	0	0	1
17760	1	1	0	1	1
17770	0	0	0	0	0
17780	1	0	1	0	0
17790	1	1	1	1	0
17800	1	1	1	1	0
17810	1	0	1	1	0
17820	1	0	0	0	0
17830	0	0	0	0	0
17840	0	0	0	0	1
17850	0	0	0	0	0
17860	1	0	0	1	0
17870	1	0	0	0	0
17880	0	1	1	0	0
17890	1	1	1	0	1
17900	1	1	1	1	1
17910	1	0	1	1	1
17920	1	1	1	1	1
17930	1	1	1	1	1
17940	1	1	1	1	1
17950	1	1	1	1	1
17960	0	1	0	1	0
17970	1	1	1	1	1
17980	1	0	0	0	0
17990	1	0	0	1	0
18000	0	0	0	0	0
18010	1	0	1	1	0
18020	0	0	1	1	1
18030	0	0	0	0	1
18040	1	1	1	1	1
18050	1	1	0	1	1
18060	1	1	1	1	0
18070	0	0	0	0	0
18080	0	0	1	0	0
18090	0	0	0	0	0
18100	0	0	0	0	0
18110	1	1	0	0	0
18120	0	0	0	0	0
18130	0	1	0	0	1
18140	0	0	0	0	0
18150	0	0	0	0	0
18160	0	1	1	1	0
18170	0	0	0	0	0
18180	1	0	1	1	0
18190	1	0	0	1	0
18200	0	1	0	1	1
18210	1	1	1	1	1
18220	1	1	1	1	1
18230	0	0	1	1	1
18240	1	1	0	1	1
18250	1	0	1	1	0
18260	0	1	1	0	0
18270	0	0	1	1	0
18280	1	1	1	1	0
18290	1	1	1	1	1
18300	1	1	0	1	1
18310	1	1	1	1	0
18320	1	1	1	1	1
18330	0	0	1	0	1
18340	0	0	1	1	0
18350	0	0	0	0	0
18360	0	0	0	0	0
18370	1	1	1	1	1
18380	1	1	1	1	0
18390	0	1	1	1	0
18400	1	0	0	1	1
18410	1	1	1	1	1
18420	1	1	1	1	1
18430	1	1	1	1	1
18440	0	1	0	0	1
18450	0	0	1	0	0
18460	0	0	1	0	0
18470	0	1	1	0	0
18480	0	0	0	0	1
18490	0	1	0	0	1
18500	0	1	0	0	0
18510	1	0	1	1	1
18520	0	1	1	0	1
18530	1	1	1	1	1
18540	1	1	1	1	0
18550	1	1	1	1	0
18560	1	1	0	1	1
18570	1	1	1	1	1
18580	1	1	1	1	1
18590	1	0	1	1	0
18600	0	0	1	0	0
18610	1	1	1	0	1
18620	1	1	1	1	1
18630	1	0	1	1	1
18640	1	0	1	1	0
18650	0	1	1	0	0
18660	1	0	0	0	0
18670	1	0	0	0	0
18680	1	1	1	1	1
18690	1	1	1	1	0
18700	1	1	1	0	1
18710	1	1	1	0	1
18720	1	1	0	1	1
18730	1	1	1	1	1
18740	1	1	0	1	1
18750	1	1	1	1	1
18760	0	0	0	1	1
18770	0	0	0	0	0
18780	0	1	1	0	0
18790	1	1	1	1	1
18800	1	1	1	1	1
18810	1	1	0	1	1
18820	0	1	0	0	0
18830	1	1	0	0	0
18840	0	0	0	0	1
18850	0	0	0	0	0
18860	0	0	0	0	0
18870	0	0	0	0	0
18880	0	0	0	0	0
18890	1	1	1	0	1
18900	1	0	1	0	1
18910	0	0	1	0	0
18920	1	0	1	1	1
18930	1	1	1	1	1
18940	1	1	1	1	1
18950	0	0	0	1	1
18960	1	0	0	0	1
18970	0	1	1	1	1
18980	1	0	1	1	0
18990	0	0	0	0	0
19000	1	1	1	0	0
19010	0	0	1	1	1
19020	0	0	1	0	1
19030	0	0	0	1	1
19040	0	0	1	1	0
19050	0	0	0	0	0
19060	1	1	0	1	1
19070	1	0	0	1	1
19080	0	0	0	1	0
19090	0	1	1	1	1
19100	1	1	1	0	1
19110	0	0	0	0	0
19120	1	0	1	1	1
19130	0	0	0	0	0
19140	1	0	0	1	1
19150	0	0	1	0	0
19160	0	0	1	0	0
19170	0	0	1	1	1
19180	1	1	0	1	1
19190	1	1	1	1	1
19200	1	1	1	1	1
19210	1	1	1	1	1
19220	1	1	0	0	1
19230	0	1	0	0	0
19240	0	0	0	1	0
19250	0	0	1	1	0
19260	0	1	0	0	1
19270	1	0	1	1	1
19280	1	1	1	0	0
19290	1	1	1	1	1
19300	1	1	1	1	1
19310	0	0	0	0	0
19320	0	1	1	0	0
19330	0	0	0	0	1
19340	0	0	1	1	1
19350	0	0	0	0	0
19360	1	1	1	0	0
19370	1	1	1	1	1
19380	0	1	1	1	1
19390	0	0	0	1	1
19400	1	1	1	1	1
19410	1	0	0	0	0
19420	0	0	0	0	0
19430	0	0	0	0	0
19440	1	1	0	0	1
19450	1	1	1	1	1
19460	0	0	1	0	1
19470	1	0	0	0	0
19480	1	1	1	1	1
19490	1	1	1	0	1
19500	1	0	1	1	0
19510	1	1	1	1	1
19520	0	1	1	0	1
19530	1	1	1	1	1
19540	0	0	0	1	0
19550	0	0	0	0	0
19560	0	0	0	0	0
19570	0	0	0	1	0
19580	0	0	0	0	0
19590	1	0	0	1	1
19600	1	0	1	1	1
19610	0	0	0	1	0
19620	1	1	1	1	1
19630	1	1	1	1	1
19640	1	1	1	1	1
19650	1	0	0	1	0
19660	0	0	0	0	0
19670	0	0	0	1	0
19680	0	0	0	0	1
19690	1	0	0	0	1
19700	1	1	0	0	1
19710	1	0	1	1	1
19720	1	1	1	1	1
19730	0	0	0	0	0
19740	1	1	0	0	1
19750	0	0	0	0	0
19760	0	1	1	1	0
19770	1	0	1	1	0
19780	0	0	0	0	0
19790	0	0	0	0	1
19800	1	1	0	1	1
19810	0	0	1	0	1
19820	0	0	0	0	1
19830	1	0	0	0	0
19840	1	0	0	1	1
19850	1	0	1	0	0
19860	1	1	1	1	1
19870	0	0	0	1	0
19880	0	1	1	1	1
19890	0	0	0	1	1
19900	1	0	0	0	0
19910	1	1	1	1	0
19920	1	0	0	1	0
19930	0	1	1	1	1
19940	1	1	1	1	1
19950	1	1	1	1	1
19960	1	0	1	0	0
19970	1	0	1	1	1
19980	1	1	1	0	1
19990	0	0	0	0	0
20000	0	0	0	1	0
20010	0	0	1	0	0
20020	0	0	0	0	0
20030	0	0	0	0	0
20040	1	1	0	0	1
20050	1	1	1	1	1
20060	1	1	1	1	1
20070	0	0	0	0	1
20080	0	0	0	0	0
20090	0	0	0	0	0
20100	0	0	0	0	0
20110	0	0	0	0	0
20120	0	0	0	0	0
20130	0	0	1	0	1
20140	1	0	1	1	1
20150	0	0	0	1	0
20160	0	0	0	0	0
20170	0	0	0	0	0
20180	0	1	1	0	1
20190	0	1	0	0	0
20200	0	1	0	1	0
20210	0	0	0	0	0
20220	0	0	1	1	1
20230	0	1	0	1	0
20240	0	1	1	1	1
20250	1	1	0	1	1
20260	0	0	0	0	1
20270	1	1	0	0	0
20280	1	1	1	1	1
20290	1	0	0	0	0
20300	0	1	0	0	1
20310	0	0	0	0	0
20320	1	0	0	0	0
20330	1	1	0	0	1
20340	1	1	0	1	0
20350	0	0	1	0	1
20360	0	0	0	0	0
20370	1	0	0	0	0
20380	1	1	0	0	0
20390	0	1	0	1	0
20400	0	1	0	0	1
20410	1	1	1	1	1
20420	0	0	0	0	0
20430	0	0	0	0	0
20440	0	0	0	1	0
20450	1	1	0	1	0
20460	1	1	1	1	0
20470	0	1	0	0	1
20480	0	0	0	0	0
20490	1	1	1	0	0
20500	1	1	0	0	0
20510	1	0	0	0	0
20520	0	1	1	0	0
20530	1	0	0	0	1
20540	1	0	1	1	1
20550	0	0	1	0	0
20560	0	0	0	0	0
20570	0	0	0	0	0
20580	1	1	0	0	0
20590	0	0	0	0	0
20600	1	0	0	1	0
20610	1	1	1	1	1
20620	1	1	1	1	1
20630	0	0	1	1	1
20640	1	1	1	1	0
20650	1	1	1	0	0
20660	0	0	0	0	0
20670	0	0	0	1	0
20680	0	0	0	0	1
20690	1	0	1	0	1
20700	1	1	1	1	1
20710	1	1	1	0	1
20720	1	1	1	1	1
20730	0	0	1	0	0
20740	0	0	0	0	0
20750	1	1	1	1	1
20760	1	1	0	1	1
20770	1	0	1	1	1
20780	1	0	1	0	0
20790	0	0	0	0	1
20800	0	1	0	1	0
20810	1	1	1	0	1
20820	1	1	0	1	1
20830	1	0	1	1	1
20840	1	1	1	1	1
20850	0	0	0	1	0
20860	1	0	0	0	1
20870	0	0	0	0	0
20880	0	0	1	0	0
20890	0	0	0	0	1
20900	1	1	1	1	1
20910	1	1	1	1	1
20920	1	0	1	1	0
20930	0	0	1	0	0
20940	0	0	0	1	1
20950	1	0	0	0	0
20960	0	0	0	0	1
20970	1	1	1	0	1
20980	0	0	1	0	0
20990	1	0	0	0	1
21000	1	0	1	1	1
21010	0	0	1	0	0
21020	1	1	1	1	1
21030	1	0	0	0	0
21040	0	0	0	0	0
21050	0	1	0	0	0
21060	1	0	0	0	1
21070	1	0	0	0	0
21080	0	1	1	0	0
21090	0	0	0	0	0
21100	0	1	1	1	0
21110	0	1	1	1	0
21120	0	0	0	1	0
21130	0	0	0	0	0
21140	0	1	0	1	0
21150	0	0	0	0	0
21160	0	1	1	1	1
21170	0	0	0	0	0
21180	1	1	0	0	0
21190	0	0	1	0	0
21200	0	0	0	1	1
21210	1	0	0	0	0
21220	0	0	1	0	0
21230	0	1	1	0	1
21240	0	0	0	0	0
21250	0	0	0	0	1
21260	0	1	0	0	1
21270	1	1	1	1	1
21280	0	0	0	1	1
21290	0	0	0	1	0
21300	1	0	1	1	1
21310	1	1	1	1	1
21320	1	0	1	1	1
21330	1	1	1	1	1
21340	1	1	1	1	1
21350	1	0	1	1	0
21360	1	0	1	1	0
21370	0	0	0	1	0
21380	0	0	1	0	0
21390	0	1	1	1	1
21400	1	1	1	1	1
21410	0	0	1	1	0
21420	1	1	1	1	1
21430	0	0	1	1	1
21440	1	0	0	0	0
21450	1	1	0	0	0
21460	0	1	0	1	1
21470	0	1	1	1	1
21480	1	1	1	0	1
21490	0	0	0	0	0
21500	0	0	0	1	1
21510	1	1	1	0	0
21520	0	0	1	0	1
21530	1	1	0	1	0
